診療科,H28対応項目,メモ,H28の記載,項目,検査項目,UID,Unnamed: 3,修正提案(20220302),査読コメント(20220302),チームからの返信（原案どおりなら１、修正案に賛成なら２）,チームからのコメント（あれば）,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,臓器,分類,項目名,H28表記,項目名(202004113)作業用,項目名(20220413),"座長・副座長返答(1.医学教育課の意見を反映,2.原案ママ,3.その他)(20220411)",座長・副座長コメント(20220411),チームからの修正提案(20220317),チームからのコメント(20220317),医学教育課修正案(20220317),医学教育課からのコメント(20220317),項目名(20220302査読直前),削除項目,追加項目,査読への返答,A,B,C,D,E,F,G,H,I,カテゴリ,サブカテゴリ,疾患,修正案(20220318),コメント(20220318),重要(20220318),重複(計算列),重複のため削除する項目に●(20220408),重要度分類(スリム化チーム作業用)(20220330),診断,治療,教育,予防,作成時(20220316コメント),修正案(20220316),パフォーマンス,基本的臨床手技,目標レベル,診察項目,医学教育課修正案(20220327),医学教育課からのコメント(20220327),Unnamed: 7,検査項目(20220302査読直前),Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,主要症候,検討すべき鑑別疾患,錦織
,D-12-01-na-07,,,[別表]知識,,JlAKpsQ,,,,,,,,,,,,,,,,,内分泌・栄養・代謝系,構造と機能,男性ホルモン・女性ホルモンの合成・代謝経路と作用,男性ホルモン・女性ホルモンの合成・代謝経路と作用を説明できる。,男性ホルモン・女性ホルモンの合成・代謝経路と作用,男性ホルモン・女性ホルモンの合成・代謝経路と作用,,,,,,,男性ホルモン・女性ホルモンの合成・代謝経路と作用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-12-01-na-08,C-04-03との調整必要,,[別表]知識,,JlAKpsU,,,,,,,,,,,,,,,,,内分泌・栄養・代謝系,構造と機能,三大栄養素、ビタミン、微量元素の消化吸収と栄養素の生物学的利用効率,三大栄養素、ビタミン、微量元素の消化吸収と栄養素の生物学的利用効率(bioavailability)を説明できる。,三大栄養素、ビタミン、微量元素の消化吸収と栄養素の生物学的利用効率,三大栄養素、ビタミン、微量元素の消化吸収と栄養素の生物学的利用効率,,,,,,,三大栄養素、ビタミン、微量元素の消化吸収と栄養素の生物学的利用効率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-12-01-na-09,,,[別表]知識,,JlAKpsY,,,,,,,,,,,,,,,,,内分泌・栄養・代謝系,構造と機能,糖質・タンパク質・脂質の代謝経路と相互作用,糖質・タンパク質・脂質の代謝経路と相互作用を説明できる。,糖質・タンパク質・脂質の代謝経路と相互作用,糖質・タンパク質・脂質の代謝経路と相互作用,,,,,,,糖質・タンパク質・脂質の代謝経路と相互作用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-12-02-na-02,D-12-02-na-03",,,[別表]知識,,JlAKpsc,,,,,,,,,,,,,,,,,内分泌・栄養・代謝系,構造と機能,血中ホルモン濃度に影響を与える因子およびホルモンの日内変動,"血中ホルモン濃度に影響を与える因子を列挙できる。,ホルモンの日内変動の例を挙げて説明できる。",血中ホルモン濃度に影響を与える因子およびホルモンの日内変動,血中ホルモン濃度に影響を与える因子およびホルモンの日内変動,,,,,,,血中ホルモン濃度に影響を与える因子およびホルモンの日内変動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]知識,,JlAKpsg,,,,,,,,,,,,,,,,,内分泌・栄養・代謝系,症候,体重減少,,体重減少,体重減少,,,,,,,体重減少,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]知識,,JlAKpsk,,,,,,,,,,,,,,,,,内分泌・栄養・代謝系,症候,体重増加,,体重増加,体重増加,,,,,,,体重増加,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]知識,,JlAKpso,,,,,,,,,,,,,,,,,内分泌・栄養・代謝系,症候,月経異常,,月経異常,月経異常,,,,,,,月経異常,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]知識,,JlAKpss,,,,,,,,,,,,,,,,,内分泌・栄養・代謝系,症候,低身長,,低身長,低身長,,,,,,,低身長,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]知識,,JlAKpsw,,,,,,,,,,,,,,,,,内分泌・栄養・代謝系,症候,甲状腺腫,,甲状腺腫,甲状腺腫,,,,,,,甲状腺腫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]知識,,JlAKps0,,,,,,,,,,,,,,,,,内分泌・栄養・代謝系,症候,ホルモンの過剰または欠乏がもたらす身体症状,,ホルモンの過剰または欠乏がもたらす身体症状,ホルモンの過剰または欠乏がもたらす身体症状,,,,,,,ホルモンの過剰または欠乏がもたらす身体症状,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]知識,,JlAKps4,,,,,,,,,,,,,,,,,内分泌・栄養・代謝系,症候,エネルギー摂取の過剰または欠乏がもたらす身体症状,,エネルギー摂取の過剰または欠乏がもたらす身体症状,エネルギー摂取の過剰または欠乏がもたらす身体症状,,,,,,,エネルギー摂取の過剰または欠乏がもたらす身体症状,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]知識,,JlAKps8,,,,,,,,,,,,,,,,,内分泌・栄養・代謝系,検査方法,血中・尿中ホルモン測定,,血中・尿中ホルモン測定,血中・尿中ホルモン測定,,,,,,,血中・尿中ホルモン測定,,①血中・尿中ホルモン測定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]知識,,JlAKptA,,,,,,,,,,,,,,,,,内分泌・栄養・代謝系,検査方法,内分泌機能検査、負荷試験,,内分泌機能検査、負荷試験,内分泌機能検査、負荷試験,,,,,,,内分泌機能検査、負荷試験,,②内分泌機能検査、負荷試験,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]知識,,JlAKptE,,なし,,,,,,,,,,,,,,,内分泌・栄養・代謝系,特異的治療法,※現時点でなし,,※現時点でなし,※現時点でなし,,,,,,,※現時点でなし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-13-01-na-01,,,[別表]知識,,JlAKptw,,,,,,,,,,,,,,,,,眼・視覚系,構造と機能,眼球と付属器の構造,眼球と付属器の構造と機能を説明できる。,眼球と付属器の構造,眼球と付属器の構造,,,,,,,眼球と付属器の構造,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-13-01-na-02,,,[別表]知識,,JlAKpt0,,,,,,,,,,,,,,,,,眼・視覚系,構造と機能,視覚情報の受容の仕組みと伝導路,視覚情報の受容のしくみと伝導路を説明できる。,視覚情報の受容の仕組みと伝導路,視覚情報の受容の仕組みと伝導路,,,,,,,視覚情報の受容の仕組みと伝導路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-13-01-na-03,,,[別表]知識,,JlAKpt4,,,,,,,,,,,,,,,,,眼・視覚系,構造と機能,眼球運動の仕組み,眼球運動のしくみを説明できる。,眼球運動の仕組み,眼球運動の仕組み,,,,,,,眼球運動の仕組み,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-13-01-na-04,,,[別表]知識,,JlAKpt8,,,,,,,,,,,,,,,,,眼・視覚系,構造と機能,対光反射、輻輳反射、角膜反射の機能,対光反射、輻輳反射、角膜反射の機能を説明できる。,対光反射、輻輳反射、角膜反射の機能,対光反射、輻輳反射、角膜反射の機能,,,,,,,対光反射、輻輳反射、角膜反射の機能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-13-03-02-01,D-13-03-02-02,D-13-03-02-03",,,[別表]知識,,JlAKpuA,,,,,,,,,,,,,,,,,眼・視覚系,症候,めまい,"めまい,頭痛・頭重感,悪心・嘔吐",めまい,めまい,,,,,,,めまい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-13-03-02-01,D-13-03-02-02,D-13-03-02-03",,,[別表]知識,,JlAKpuE,,,,,,,,,,,,,,,,,眼・視覚系,症候,頭痛,"めまい,頭痛・頭重感,悪心・嘔吐",頭痛,頭痛,,,,,,,頭痛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-13-03-02-01,D-13-03-02-02,D-13-03-02-03",,,[別表]知識,,JlAKpuI,,,,,,,,,,,,,,,,,眼・視覚系,症候,悪心・嘔吐,"めまい,頭痛・頭重感,悪心・嘔吐",悪心・嘔吐,悪心・嘔吐,,,,,,,悪心・嘔吐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-13-03-01-01,,,[別表]知識,,JlAKpuM,,,,,,,,,,,,,,,,,眼・視覚系,症候,視力障害,眼・視覚系に関する主要症候（視力障害、視野異常、色覚異常、眼球運動障害、眼脂・眼の充血、飛蚊症、眼痛）を列挙し、それらの発生機序、原因疾患と治療を説明できる。,視力障害,視力障害,,,,,,,視力障害,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-13-03-01-01,,,[別表]知識,,JlAKpuQ,,,,,,,,,,,,,,,,,眼・視覚系,症候,視野異常,眼・視覚系に関する主要症候（視力障害、視野異常、色覚異常、眼球運動障害、眼脂・眼の充血、飛蚊症、眼痛）を列挙し、それらの発生機序、原因疾患と治療を説明できる。,視野異常,視野異常,,,,,,,視野異常,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-13-03-01-01,,,[別表]知識,,JlAKpuU,,,,,,,,,,,,,,,,,眼・視覚系,症候,眼球運動障害,眼・視覚系に関する主要症候（視力障害、視野異常、色覚異常、眼球運動障害、眼脂・眼の充血、飛蚊症、眼痛）を列挙し、それらの発生機序、原因疾患と治療を説明できる。,眼球運動障害,眼球運動障害,,,,,,,眼球運動障害,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-13-03-01-01,,,[別表]知識,,JlAKpuY,,,,,,,,,,,,,,,,,眼・視覚系,症候,眼脂・眼の充血,眼・視覚系に関する主要症候（視力障害、視野異常、色覚異常、眼球運動障害、眼脂・眼の充血、飛蚊症、眼痛）を列挙し、それらの発生機序、原因疾患と治療を説明できる。,眼脂・眼の充血,眼脂・眼の充血,,,,,,,眼脂・眼の充血,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-13-03-01-01,,,[別表]知識,,JlAKpuc,,,,,,,,,,,,,,,,,眼・視覚系,症候,飛蚊症,眼・視覚系に関する主要症候（視力障害、視野異常、色覚異常、眼球運動障害、眼脂・眼の充血、飛蚊症、眼痛）を列挙し、それらの発生機序、原因疾患と治療を説明できる。,飛蚊症,飛蚊症,,,,,,,飛蚊症,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-13-03-01-01,,,[別表]知識,,JlAKpug,,,,,,,,,,,,,,,,,眼・視覚系,症候,眼痛,眼・視覚系に関する主要症候（視力障害、視野異常、色覚異常、眼球運動障害、眼脂・眼の充血、飛蚊症、眼痛）を列挙し、それらの発生機序、原因疾患と治療を説明できる。,眼痛,眼痛,,,,,,,眼痛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-13-02-na-01,,,[別表]知識,,JlAKpuk,,,,,,,,,,,,,,,,,眼・視覚系,検査方法,視力検査,基本的眼科検査（視力検査、視野検査、細隙灯顕微鏡検査、眼圧検査、眼底検査）を列挙し、それらの原理と適応を述べ、主要所見を解釈できる。,視力検査,視力検査,,,,,,,視力検査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-13-02-na-01,,,[別表]知識,,JlAKpuo,,,,,,,,,,,,,,,,,眼・視覚系,検査方法,視野検査,基本的眼科検査（視力検査、視野検査、細隙灯顕微鏡検査、眼圧検査、眼底検査）を列挙し、それらの原理と適応を述べ、主要所見を解釈できる。,視野検査,視野検査,,,,,,,視野検査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-13-02-na-01,,,[別表]知識,,JlAKpus,,,,,,,,,,,,,,,,,眼・視覚系,検査方法,細隙灯顕微鏡検査,基本的眼科検査（視力検査、視野検査、細隙灯顕微鏡検査、眼圧検査、眼底検査）を列挙し、それらの原理と適応を述べ、主要所見を解釈できる。,細隙灯顕微鏡検査,細隙灯顕微鏡検査,,,,,,,細隙灯顕微鏡検査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-13-02-na-01,,,[別表]知識,,JlAKpuw,,,,,,,,,,,,,,,,,眼・視覚系,検査方法,眼圧検査,基本的眼科検査（視力検査、視野検査、細隙灯顕微鏡検査、眼圧検査、眼底検査）を列挙し、それらの原理と適応を述べ、主要所見を解釈できる。,眼圧検査,眼圧検査,,,,,,,眼圧検査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-13-02-na-01,,,[別表]知識,,JlAKpu0,,,,,,,,,,,,,,,,,眼・視覚系,検査方法,眼底検査,基本的眼科検査（視力検査、視野検査、細隙灯顕微鏡検査、眼圧検査、眼底検査）を列挙し、それらの原理と適応を述べ、主要所見を解釈できる。,眼底検査,眼底検査,,,,,,,眼底検査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]知識,,JlAKpu4,,,,,,,,,,,,,,,,,眼・視覚系,特異的治療法,レーザー治療,,レーザー治療,レーザー治療,,,,,,,レーザー治療,,レーザー治療を追加,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-14-01-na-01,,,[別表]知識,,JlAKpvw,,,,,,,,,,,,,,,,,耳鼻・咽喉・口腔系,構造と機能,外耳・中耳・内耳の構造,外耳・中耳・内耳の構造を図示できる。,外耳・中耳・内耳の構造,外耳・中耳・内耳の構造,,,,,,,外耳・中耳・内耳の構造,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-14-01-na-02,,,[別表]知識,,JlAKpv0,,,,,,,,,,,,,,,,,耳鼻・咽喉・口腔系,構造と機能,聴覚・平衡覚の受容のしくみと伝導路,聴覚・平衡覚の受容のしくみと伝導路を説明できる。,聴覚・平衡覚の受容のしくみと伝導路,聴覚・平衡覚の受容のしくみと伝導路,,,,,,,聴覚・平衡覚の受容のしくみと伝導路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-14-01-na-03,,,[別表]知識,,JlAKpv4,,,,,,,,,,,,,,,,,耳鼻・咽喉・口腔系,構造と機能,口腔・鼻腔・咽頭・喉頭の構造,口腔・鼻腔・咽頭・喉頭の構造を図示できる。,口腔・鼻腔・咽頭・喉頭の構造,口腔・鼻腔・咽頭・喉頭の構造,,,,,,,口腔・鼻腔・咽頭・喉頭の構造,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-14-01-na-04,,,[別表]知識,,JlAKpv8,,,,,,,,,,,,,,,,,耳鼻・咽喉・口腔系,構造と機能,喉頭の機能と神経支配,喉頭の機能と神経支配を説明できる。,喉頭の機能と神経支配,喉頭の機能と神経支配,,,,,,,喉頭の機能と神経支配,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-14-01-na-05,,,[別表]知識,,JlAKpwA,,,,,,,,,,,,,,,,,耳鼻・咽喉・口腔系,構造と機能,眼球運動、姿勢制御と関連させた平衡感覚機構,平衡感覚機構を眼球運動、姿勢制御と関連させて説明できる。,眼球運動、姿勢制御と関連させた平衡感覚機構,眼球運動、姿勢制御と関連させた平衡感覚機構,,,,,,,眼球運動、姿勢制御と関連させた平衡感覚機構,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-14-01-na-06,,,[別表]知識,,JlAKpwE,,,,,,,,,,,,,,,,,耳鼻・咽喉・口腔系,構造と機能,味覚と嗅覚の受容のしくみと伝導路,味覚と嗅覚の受容のしくみと伝導路を説明できる。,味覚と嗅覚の受容のしくみと伝導路,味覚と嗅覚の受容のしくみと伝導路,,,,,,,味覚と嗅覚の受容のしくみと伝導路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-14-02-na-01, D-14-02-na-02",そもそもチームのガイドに合わせ「嚥下障害」のみ,,[別表]知識,,JlAKpwM,,,,,,,,,,,,,,,,,耳鼻・咽喉・口腔系,症候,めまい,"聴力検査と平衡機能検査を説明できる。,味覚検査と嗅覚検査を説明できる。",めまい,めまい,,,,,,,めまい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-14-02-na-01, D-14-02-na-02",そもそもチームのガイドに合わせ「嚥下障害」のみ,,[別表]知識,,JlAKpwQ,,,,,,,,,,,,,,,,,耳鼻・咽喉・口腔系,症候,嚥下困難,"聴力検査と平衡機能検査を説明できる。,味覚検査と嗅覚検査を説明できる。",嚥下困難,嚥下困難,,,,,,,嚥下困難,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-14-03-01-01,,,[別表]知識,,JlAKpwU,,,,,,,,,,,,,,,,,耳鼻・咽喉・口腔系,症候,気道狭窄,気道狭窄、難聴、鼻出血、咽頭痛、開口障害と反回神経麻痺（嗄声）をきたす疾患を列挙し、その病態を説明できる。,気道狭窄,気道狭窄,,,,,,,気道狭窄,,D-14-03-01-01を細分化し①～⑬（うち⑦～⑬新設）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-14-03-01-01,,,[別表]知識,,JlAKpwY,,,,,,,,,,,,,,,,,耳鼻・咽喉・口腔系,症候,難聴,気道狭窄、難聴、鼻出血、咽頭痛、開口障害と反回神経麻痺（嗄声）をきたす疾患を列挙し、その病態を説明できる。,難聴,難聴,,,,,,,難聴,,D-14-03-01-01を細分化し①～⑬（うち⑦～⑬新設）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-14-03-01-01,,,[別表]知識,,JlAKpwc,,,,,,,,,,,,,,,,,耳鼻・咽喉・口腔系,症候,鼻出血,気道狭窄、難聴、鼻出血、咽頭痛、開口障害と反回神経麻痺（嗄声）をきたす疾患を列挙し、その病態を説明できる。,鼻出血,鼻出血,,,,,,,鼻出血,,D-14-03-01-01を細分化し①～⑬（うち⑦～⑬新設）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-14-03-01-01,,,[別表]知識,,JlAKpwg,,,,,,,,,,,,,,,,,耳鼻・咽喉・口腔系,症候,咽頭痛,気道狭窄、難聴、鼻出血、咽頭痛、開口障害と反回神経麻痺（嗄声）をきたす疾患を列挙し、その病態を説明できる。,咽頭痛,咽頭痛,,,,,,,咽頭痛,,D-14-03-01-01を細分化し①～⑬（うち⑦～⑬新設）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-14-03-01-01,,,[別表]知識,,JlAKpwk,,,,,,,,,,,,,,,,,耳鼻・咽喉・口腔系,症候,開口障害,気道狭窄、難聴、鼻出血、咽頭痛、開口障害と反回神経麻痺（嗄声）をきたす疾患を列挙し、その病態を説明できる。,開口障害,開口障害,,,,,,,開口障害,,D-14-03-01-01を細分化し①～⑬（うち⑦～⑬新設）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-14-03-01-01,,,[別表]知識,,JlAKpwo,,嗄声,査読者Iの意見,2.0,,,,,,,,,,,,,耳鼻・咽喉・口腔系,症候,反回神経麻痺（嗄声）,気道狭窄、難聴、鼻出血、咽頭痛、開口障害と反回神経麻痺（嗄声）をきたす疾患を列挙し、その病態を説明できる。,反回神経麻痺（嗄声）,反回神経麻痺（嗄声）,,,,,,,反回神経麻痺（嗄声）,,D-14-03-01-01を細分化し①～⑬（うち⑦～⑬新設）,,,,,,,,,,反回神経麻痺は症候ではないため嗄声のみ記載,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-14-03-01-01,,,[別表]知識,,JlAKpws,,,,,,,,,,,,,,,,,耳鼻・咽喉・口腔系,症候,耳鳴,気道狭窄、難聴、鼻出血、咽頭痛、開口障害と反回神経麻痺（嗄声）をきたす疾患を列挙し、その病態を説明できる。,耳鳴,耳鳴,,,,,,,耳鳴,,D-14-03-01-01を細分化し①～⑬（うち⑦～⑬新設）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-14-03-01-01,,,[別表]知識,,JlAKpww,,,,,,,,,,,,,,,,,耳鼻・咽喉・口腔系,症候,鼻閉,気道狭窄、難聴、鼻出血、咽頭痛、開口障害と反回神経麻痺（嗄声）をきたす疾患を列挙し、その病態を説明できる。,鼻閉,鼻閉,,,,,,,鼻閉,,D-14-03-01-01を細分化し①～⑬（うち⑦～⑬新設）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-14-03-01-01,,,[別表]知識,,JlAKpw0,,,,,,,,,,,,,,,,,耳鼻・咽喉・口腔系,症候,鼻漏,気道狭窄、難聴、鼻出血、咽頭痛、開口障害と反回神経麻痺（嗄声）をきたす疾患を列挙し、その病態を説明できる。,鼻漏,鼻漏,,,,,,,鼻漏,,D-14-03-01-01を細分化し①～⑬（うち⑦～⑬新設）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-14-03-01-01,,,[別表]知識,,JlAKpw4,,,,,,,,,,,,,,,,,耳鼻・咽喉・口腔系,症候,嗅覚障害,気道狭窄、難聴、鼻出血、咽頭痛、開口障害と反回神経麻痺（嗄声）をきたす疾患を列挙し、その病態を説明できる。,嗅覚障害,嗅覚障害,,,,,,,嗅覚障害,,D-14-03-01-01を細分化し①～⑬（うち⑦～⑬新設）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-14-03-01-01,,,[別表]知識,,JlAKpw8,,,,,,,,,,,,,,,,,耳鼻・咽喉・口腔系,症候,いびき,気道狭窄、難聴、鼻出血、咽頭痛、開口障害と反回神経麻痺（嗄声）をきたす疾患を列挙し、その病態を説明できる。,いびき,いびき,,,,,,,いびき,,D-14-03-01-01を細分化し①～⑬（うち⑦～⑬新設）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
